Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
(16:15:49) Rokaw assumes Offensive Stance.
(16:15:52) FYsz assumes Offensive Stance.
(16:15:52) DannyDimes assumes Offensive Stance.
(16:15:52) YOU assume Offensive Stance.
(16:15:52) Typechi assumes Offensive Stance.
(16:15:54) yunT assumes Offensive Stance.
(16:15:55) FYms assumes Offensive Stance.
(16:16:03) Saas assumes Offensive Stance.
(16:16:03) AlbiThere assumes a new shape.
(16:16:04) Jon assumes a new shape.
(16:16:04) Jon assumes a new shape.
(16:16:05) TPPB assumes Defensive Stance.
(16:16:05) brms assumes Offensive Stance.
(16:16:06) ChopSuey assumes Offensive Stance.
(16:16:06) Bourbon assumes Precise Stance.
(16:16:07) Tupoc assumes Defensive Stance.
(16:16:07) Bourbon assumes Offensive Stance.
(16:16:08) FYasz assumes Defensive Stance.
(16:16:08) Tupoc assumes Offensive Stance.
(16:16:09) Libai assumes Offensive Stance.
(16:16:10) Tupac assumes Defensive Stance.
(16:16:11) FYasz assumes Defensive Stance.
(16:16:11) Bourbon assumes Precise Stance.
(16:16:12) Bourbon assumes Offensive Stance.
(16:16:12) PBAOE assumes Offensive Stance.
(16:16:13) Jon assumes Offensive Stance.
(16:16:13) FYasz assumes Prospecting Stance.
(16:16:14) Tupoc assumes a new shape.
(16:16:14) ICBC assumes Offensive Stance.
(16:16:14) lover assumes Defensive Stance.
(16:16:15) Tupac assumes Defensive Stance.
(16:16:16) FYasz assumes Defensive Stance.
(16:16:17) lover assumes Offensive Stance.
(16:16:18) FYsz assumes Defensive Stance.
(16:16:19) HuntyPet assumes Prospecting Stance.
(16:16:20) HuntyPet assumes Offensive Stance.
(16:16:20) YOU assume Offensive Stance.
(16:16:20) Sax assumes Offensive Stance.
(16:16:21) AfkSlayer assumes Offensive Stance.
(16:16:22) lover assumes Offensive Stance.
(16:16:22) YOU assume Defensive Stance.
(16:16:22) Sax assumes Offensive Stance.
(16:16:23) Tupac assumes Defensive Stance.
(16:16:23) Dispel assumes Prospecting Stance.
(16:16:23) HuntyPet assumes Prospecting Stance.
(16:16:24) YOU assume Precise Stance.
(16:16:25) LeiBruc assumes Precise Stance.
(16:16:25) LeiBruc assumes Offensive Stance.
(16:16:25) Miha assumes Precise Stance.
(16:16:26) Sax assumes Offensive Stance.
(16:16:26) hao assumes Precise Stance.
(16:16:27) Sniper assumes Offensive Stance.
(16:16:27) Dispel assumes Precise Stance.
(16:16:29) HuntyPet assumes Offensive Stance.
(16:16:29) TPPB assumes a new shape.
(16:16:30) YOU assume Offensive Stance.
(16:16:30) Sax assumes Offensive Stance.
(16:16:31) KERDC assumes Offensive Stance.
(16:16:31) hao assumes Offensive Stance.
(16:16:31) Sniper assumes Offensive Stance.
(16:16:32) PBAOE assumes Offensive Stance.
(16:16:33) Sax assumes Offensive Stance.
(16:16:33) Bourbon assumes Defensive Stance.
(16:16:35) Sax assumes Offensive Stance.
(16:16:36) Miha assumes Defensive Stance.
(16:16:41) DRMadHouse assumes Defensive Stance.
(16:16:41) Sass assumes Defensive Stance.
(16:16:44) Rue assumes Offensive Stance.
(16:16:46) Necromancer assumes Offensive Stance.
(16:16:46) AmoTA assumes Offensive Stance.
(16:16:48) TactzP assumes Offensive Stance.
(16:16:49) Necromancer assumes Precise Stance.
(16:16:50) Chase assumes Offensive Stance.
(16:16:50) Diana assumes Precise Stance.
(16:16:50) Rue assumes Offensive Stance.
(16:16:50) Diana assumes Offensive Stance.
(16:16:55) Pockets assumes Precise Stance.
(16:17:01) Stylebane assumes Offensive Stance.
(16:17:03) TyyppVee assumes Defensive Stance.
(16:17:06) Roka assumes Defensive Stance.
(16:17:09) Stylebane assumes Offensive Stance.
(16:17:16) HIM assumes Offensive Stance.
(16:17:17) Necromancer assumes Offensive Stance.
(16:17:18) Selee assumes Offensive Stance.
(16:17:23) Chaos assumes Offensive Stance.
(16:17:25) sudo assumes Offensive Stance.
(16:17:29) Selee assumes Offensive Stance.
(16:17:31) DRChuckIt assumes Offensive Stance.
(16:17:45) sudo assumes Offensive Stance.
(16:17:46) lover assumes Offensive Stance.
(16:17:46) Bourbon assumes Precise Stance.
(16:17:47) TOKR assumes Offensive Stance.
(16:17:47) Bourbon assumes Offensive Stance.
(16:17:48) Elwl assumes Offensive Stance.
(16:17:49) YOU assume Offensive Stance.
(16:17:50) YOU assume Defensive Stance.
(16:17:50) Jon assumes a new shape.
(16:17:50) Jon assumes a new shape.
(16:17:53) TFst assumes a new shape.
(16:17:59) sudo assumes Offensive Stance.
(16:17:59) TPPB assumes a new shape.
(16:18:00) Ponchs assumes Offensive Stance.
(16:18:00) TrumpRussia assumes Offensive Stance.
(16:18:01) Miha assumes Offensive Stance.
(16:18:01) YOU assume Offensive Stance.
(16:18:01) Kansas assumes Offensive Stance.
(16:18:04) Ponchs assumes a new shape.
(16:18:04) TrumpRussia assumes Defensive Stance.
(16:18:05) TrumpRussia assumes Precise Stance.
(16:18:07) Dispel assumes Precise Stance.
(16:18:07) Dispel assumes Offensive Stance.
(16:18:08) Miha assumes Offensive Stance.
(16:18:08) TPPB assumes a new shape.
(16:18:08) Sax assumes Precise Stance.
(16:18:09) Sax assumes Normal Stance.
(16:18:09) Sax assumes Offensive Stance.
(16:18:09) Miha assumes Offensive Stance.
(16:18:09) KERDC assumes Offensive Stance.
(16:18:09) Dispel assumes Prospecting Stance.
(16:18:09) HuntyPet assumes Prospecting Stance.
(16:18:09) Kansas assumes Prospecting Stance.
(16:18:10) TPPB assumes a new shape.
(16:18:15) KERDC assumes Offensive Stance.
(16:18:15) TFst assumes Defensive Stance.
(16:18:18) XFzj assumes Offensive Stance.
(16:18:21) FYasz assumes Defensive Stance.
(16:18:27) Dispel assumes Precise Stance.
(16:18:29) Kansas assumes Offensive Stance.
(16:18:34) Saas assumes Offensive Stance.
(16:18:41) Apdo assumes Defensive Stance.
(16:18:41) Sax assumes Offensive Stance.
(16:18:43) Redneck assumes Defensive Stance.
(16:18:43) YOU assume Precise Stance.
(16:18:44) YOU assume Offensive Stance.
(16:18:45) xlxll assumes Precise Stance.
(16:18:45) YOU assume Precise Stance.
(16:18:45) xlxlll assumes Precise Stance.
(16:18:45) xlxll assumes a new shape.
(16:18:45) xlxll assumes a new shape.
(16:18:46) Sax assumes Offensive Stance.
(16:18:46) YOU assume Offensive Stance.
(16:18:47) Jill assumes Offensive Stance.
(16:18:48) xlxll assumes a new shape.
(16:18:48) xlxll assumes a new shape.
(16:18:48) Uther assumes Offensive Stance.
(16:18:48) Jill assumes Offensive Stance.
(16:18:48) Sax assumes Offensive Stance.
(16:18:48) Hero assumes Offensive Stance.
(16:18:49) Jill assumes Prospecting Stance.
(16:18:49) YOU assume Precise Stance.
(16:18:49) Uther assumes Precise Stance.
(16:18:49) xlxll assumes a new shape.
(16:18:49) xlxll assumes a new shape.
(16:18:50) Sax assumes Offensive Stance.
(16:18:50) Jill assumes Offensive Stance.
(16:18:51) xllxl assumes Defensive Stance.
(16:18:51) Hero assumes Offensive Stance.
(16:18:51) Jill assumes Prospecting Stance.
(16:18:51) Uther assumes Offensive Stance.
(16:18:52) Uther assumes Precise Stance.
(16:18:52) xlxll assumes a new shape.
(16:18:52) xlxll assumes a new shape.
(16:18:52) xlxl assumes Defensive Stance.
(16:18:52) YOU assume Offensive Stance.
(16:18:52) Sax assumes Offensive Stance.
(16:18:52) xlxll assumes a new shape.
(16:18:52) xlxll assumes a new shape.
(16:18:53) Uther assumes Offensive Stance.
(16:18:53) xlxll assumes a new shape.
(16:18:53) xlxll assumes a new shape.
(16:18:53) Uther assumes Offensive Stance.
(16:18:59) WMW assumes a new shape.
(16:19:00) ASaz assumes Offensive Stance.
(16:19:00) CQFZm assumes Offensive Stance.
(16:19:01) PonyV assumes Offensive Stance.
(16:19:01) BYMS assumes Precise Stance.
(16:19:01) Uther assumes Precise Stance.
(16:19:01) YOU assume Offensive Stance.
(16:19:02) Uther assumes Offensive Stance.
(16:19:02) PonyV assumes Offensive Stance.
(16:19:02) WMW assumes Defensive Stance.
(16:19:02) BYMS assumes Defensive Stance.
(16:19:03) BYMS assumes Precise Stance.
(16:19:05) YOU assume Offensive Stance.
(16:19:06) WMW assumes Precise Stance.
(16:19:08) Jill assumes Offensive Stance.
(16:19:08) PonyV assumes Offensive Stance.
(16:19:09) Soda assumes Offensive Stance.
(16:19:09) CloudA assumes Offensive Stance.
(16:19:10) CloudA assumes Defensive Stance.
(16:19:11) Hero assumes Offensive Stance.
(16:19:12) Sax assumes Offensive Stance.
(16:19:13) Jill assumes Offensive Stance.
(16:19:13) WMW assumes Defensive Stance.
(16:19:13) PonyV assumes Offensive Stance.
(16:19:13) CloudA assumes Precise Stance.
(16:19:13) Soda assumes Offensive Stance.
(16:19:13) Stylebane assumes Precise Stance.
(16:19:14) CloudA assumes Offensive Stance.
(16:19:14) Stylebane assumes Offensive Stance.
(16:19:21) Relent assumes Offensive Stance.
(16:19:21) Talendor assumes Offensive Stance.
(16:19:21) Zoomy assumes Offensive Stance.
(16:19:23) Qwert assumes Defensive Stance.
(16:19:23) Gimli assumes Offensive Stance.
(16:19:24) Relent assumes Defensive Stance.
(16:19:26) Talendor assumes Offensive Stance.
(16:19:27) Talendor assumes Precise Stance.
(16:19:28) Relent assumes Offensive Stance.
(16:19:30) Schmeat assumes Offensive Stance.
(16:19:31) Qwert assumes Precise Stance.
(16:19:31) Talendor assumes Offensive Stance.
(16:19:33) Qwert assumes Offensive Stance.
(16:19:34) Talendor assumes Offensive Stance.
(16:19:36) Soda assumes Offensive Stance.
(16:19:36) Qwert assumes Precise Stance.
(16:19:36) Jill assumes Offensive Stance.
(16:19:36) Qwert assumes Offensive Stance.
(16:19:36) PonyV assumes Prospecting Stance.
(16:19:36) PonyV assumes Offensive Stance.
(16:19:42) Tizoc assumes Precise Stance.
(16:19:42) Jill assumes Offensive Stance.
(16:19:42) Jill assumes Precise Stance.
(16:19:42) YOU assume Precise Stance.
(16:19:43) Sax assumes Offensive Stance.
(16:19:43) YOU assume Offensive Stance.
(16:19:43) Tizoc assumes Offensive Stance.
(16:19:51) occifer assumes Offensive Stance.
(16:19:51) ChopSuey assumes Offensive Stance.
(16:19:51) Jill assumes Offensive Stance.
(16:19:54) CapDD assumes Offensive Stance.
(16:19:54) ChopSuey assumes Offensive Stance.
(16:19:55) occifer assumes Offensive Stance.
(16:20:03) Warrior assumes Offensive Stance.
(16:20:04) Qwert assumes Offensive Stance.
(16:20:04) ChopSuey assumes Offensive Stance.
(16:20:04) Qwert assumes Defensive Stance.
(16:20:09) Schmeat assumes Offensive Stance.
(16:20:12) Qwert assumes Offensive Stance.
(16:20:13) AlbiClose assumes Defensive Stance.
(16:20:15) tickles assumes Offensive Stance.
(16:20:16) AlbiClose assumes Offensive Stance.
(16:20:17) Stylebane assumes Offensive Stance.
(16:20:20) Genymede assumes Offensive Stance.
(16:20:22) Brutikus assumes Offensive Stance.
(16:20:25) Qwert assumes Offensive Stance.
(16:20:26) Stylebane assumes Offensive Stance.
(16:20:28) Qwert assumes Offensive Stance.
(16:20:29) Sax assumes Offensive Stance.
(16:20:30) Qwert assumes Offensive Stance.
(16:20:31) tickles assumes Offensive Stance.
(16:20:36) PooTTang assumes Defensive Stance.
(16:20:37) YOU assume Offensive Stance.
(16:20:37) Trashcans assumes Offensive Stance.
(16:20:37) Warrior assumes Offensive Stance.
(16:20:37) PonyV assumes Offensive Stance.
(16:20:38) Qwert assumes Defensive Stance.
(16:20:44) Stylebane assumes Offensive Stance.
(16:20:44) YOU assume Offensive Stance.
(16:20:45) CapDD assumes Offensive Stance.
(16:20:48) Warrior assumes Offensive Stance.
(16:20:49) Sax assumes Offensive Stance.
(16:20:56) PonyV assumes Offensive Stance.
(16:20:57) ANGLER assumes Offensive Stance.
(16:21:00) Warrior assumes Offensive Stance.
(16:21:00) CapDD assumes Offensive Stance.
(16:21:00) Jill assumes Precise Stance.
(16:21:02) Stylebane assumes Offensive Stance.
(16:21:02) Warrior assumes Offensive Stance.
(16:21:03) Jill assumes Offensive Stance.
(16:21:04) Trashcans assumes Offensive Stance.
(16:21:04) Drooley assumes Offensive Stance.
(16:21:11) Zadok assumes Offensive Stance.
(16:21:12) TheHerp assumes a new shape.
(16:21:12) Uther assumes Precise Stance.
(16:21:12) Uther assumes Offensive Stance.
(16:21:12) YOU assume Offensive Stance.
(16:21:12) Sax assumes Offensive Stance.
(16:21:15) Zadok assumes Offensive Stance.
(16:21:16) YOU assume Offensive Stance.
(16:21:17) Zadok assumes a new shape.
(16:21:20) Sax assumes Offensive Stance.
(16:21:21) TheHerp assumes Defensive Stance.
(16:21:21) typeB assumes Prospecting Stance.
(16:21:22) Zadok assumes Precise Stance.
(16:21:22) YOU assume Offensive Stance.
(16:21:23) Sax assumes Offensive Stance.
(16:21:23) typeB assumes Offensive Stance.
(16:21:24) Uther assumes Precise Stance.
(16:21:24) Uther assumes Offensive Stance.
(16:21:24) Sax assumes Offensive Stance.
(16:21:24) Zadok assumes Defensive Stance.
(16:21:25) typeB assumes Prospecting Stance.
(16:21:31) Bozo assumes Offensive Stance.
(16:21:32) Uther assumes Offensive Stance.
(16:21:32) AIucard assumes Offensive Stance.
(16:21:33) zDsZ assumes a new shape.
(16:21:33) zDsZ assumes a new shape.
(16:21:36) Uther assumes Defensive Stance.
(16:21:37) AIucard assumes Offensive Stance.
(16:21:39) YOU assume Offensive Stance.
(16:21:40) tickles assumes Offensive Stance.
(16:21:42) LJC assumes Offensive Stance.
(16:21:46) Sax assumes Offensive Stance.
(16:21:46) tickles assumes Offensive Stance.
(16:21:49) Uther assumes Offensive Stance.
(16:21:50) Uther assumes Precise Stance.
(16:21:51) AIucard assumes Offensive Stance.
(16:21:51) tickles assumes Offensive Stance.
(16:21:52) LJC assumes Defensive Stance.
(16:21:52) Uther assumes Offensive Stance.
(16:21:52) typeB assumes Offensive Stance.
(16:21:57) Vlad assumes Offensive Stance.
(16:21:58) Sax assumes Offensive Stance.
(16:22:05) Sell assumes Offensive Stance.
(16:22:05) BigAlbi assumes Offensive Stance.
(16:22:05) PonyV assumes Offensive Stance.
(16:22:05) CapH assumes Offensive Stance.
(16:22:06) OVER assumes a new shape.
(16:22:06) OVER assumes a new shape.
(16:22:06) CapH assumes a new shape.
(16:22:06) CapH assumes a new shape.
(16:22:07) Tactz assumes Offensive Stance.
(16:22:08) YOU assume Offensive Stance.
(16:22:15) BigAlbi assumes Offensive Stance.
(16:22:21) tickles assumes Offensive Stance.
(16:22:21) Sax assumes Offensive Stance.
(16:22:27) PonyV assumes Offensive Stance.
(16:22:27) Bozo assumes Offensive Stance.
(16:22:28) YOU assume Offensive Stance.
(16:22:28) YNM assumes Offensive Stance.
(16:22:29) sdx assumes Offensive Stance.
(16:22:29) ooHoo assumes Precise Stance.
(16:22:29) ooHoo assumes Offensive Stance.
(16:22:30) nnao assumes Defensive Stance.
(16:22:34) YOU assume Offensive Stance.
(16:22:35) nnao assumes Offensive Stance.
(16:22:36) Bozo assumes Offensive Stance.
(16:22:36) PonyV assumes Offensive Stance.
(16:22:39) nnao assumes Defensive Stance.
(16:22:41) Bozo assumes Offensive Stance.
(16:22:44) sdx assumes Offensive Stance.
(16:22:45) nnao assumes Defensive Stance.
(16:22:45) somebody assumes Offensive Stance.
(16:22:46) nnao assumes Offensive Stance.
(16:22:47) Stylebane assumes Precise Stance.
(16:22:49) sdx assumes Offensive Stance.
(16:22:49) Stylebane assumes Offensive Stance.
(16:22:52) ooHoo assumes Offensive Stance.
(16:22:59) ERDCC assumes Offensive Stance.
(16:23:03) YOU assume Offensive Stance.
(16:23:03) Styledrain assumes Precise Stance.
(16:23:05) YOU assume Precise Stance.
(16:23:05) Nooky assumes Offensive Stance.
(16:23:05) Hold assumes Precise Stance.
(16:23:05) vVv assumes Precise Stance.
(16:23:06) Styledrain assumes Offensive Stance.
(16:23:07) Ham assumes Precise Stance.
(16:23:07) Styledrain assumes Precise Stance.
(16:23:07) YOU assume Defensive Stance.
(16:23:07) Hold assumes Offensive Stance.
(16:23:08) Nooky assumes Defensive Stance.
(16:23:08) vVv assumes Offensive Stance.
(16:23:08) tickles assumes Offensive Stance.
(16:23:12) xlxI assumes Defensive Stance.
(16:23:16) Mantle assumes Precise Stance.
(16:23:16) Hold assumes Precise Stance.
(16:23:20) YOU assume Prospecting Stance.
(16:23:20) champagne assumes Defensive Stance.
(16:23:20) Sax assumes Offensive Stance.
(16:23:21) Mantle assumes Precise Stance.
(16:23:21) Uther assumes Offensive Stance.
(16:23:21) YOU assume Defensive Stance.
(16:23:21) Styledrain assumes Offensive Stance.
